LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Welwyn Hatfield,"3,520","3,609","3,396","3,362","3,125","3,299","3,666","3,887","3,961","4,133","4,672","4,922"
East Hertfordshire,"3,679","4,102","3,906","3,713","3,605","3,347","3,398","3,656","3,765","4,248","4,418","4,700"
Stevenage,"2,601","2,668","2,487","2,421","2,332","2,432","2,633","2,759","2,833","2,708","2,884","2,936"
East Suffolk,"4,390","4,425","4,296","4,443","4,589","4,756","4,989","5,136","5,140","5,196","5,476","5,555"
West Suffolk,"4,346","4,509","4,445","4,588","4,780","5,006","5,207","5,235","5,432","5,862","6,011","6,098"
City of London,"48,051","46,673","49,549","50,041","51,545","51,612","56,616","58,365","59,425","64,007","67,124","71,696"
Barking and Dagenham,"3,280","3,332","3,165","3,537","3,585","3,660","3,975","4,020","4,070","3,967","4,016","4,060"
Barnet,"7,448","7,337","7,214","7,196","7,469","8,491","8,461","9,175","9,363","9,803","10,322","10,362"
Bexley,"5,296","5,324","4,823","4,968","5,082","5,733","6,398","6,582","6,696","7,174","6,929","6,848"
Brent,"6,770","6,758","6,741","7,068","7,283","7,439","7,777","8,520","9,211","10,179","9,620","9,843"
Bromley,"7,382","7,306","6,769","6,931","7,122","7,673","7,775","7,948","7,984","8,641","8,779","9,310"
Camden,"17,665","18,214","17,939","18,551","19,678","21,127","22,739","25,391","28,964","32,724","34,015","35,406"
Croydon,"8,790","8,549","8,177","8,129","8,125","8,239","8,692","9,565","9,573","9,540","9,897","10,188"
Ealing,"7,818","7,787","7,193","7,560","7,885","8,205","9,061","9,607","10,184","10,592","10,400","10,396"
Enfield,"6,810","6,794","6,181","6,528","6,770","7,009","7,379","7,763","8,025","8,345","8,249","8,657"
Greenwich,"5,932","6,074","5,056","6,159","5,769","5,243","5,166","5,389","5,588","5,851","6,246","6,299"
Hackney,"4,771","4,961","4,821","5,215","5,593","5,845","5,859","6,622","7,212","8,987","8,336","8,962"
Hammersmith and Fulham,"6,533","6,962","6,670","7,064","7,364","8,489","8,795","9,605","10,330","10,530","11,213","11,437"
Haringey,"3,411","3,524","3,299","3,547","3,712","3,992","4,055","4,432","4,753","4,728","4,822","4,767"
Harrow,"5,122","5,068","4,652","4,854","5,134","4,751","4,861","5,537","5,700","5,927","6,186","5,992"
Havering,"4,977","4,878","4,482","4,704","4,763","5,156","5,376","5,697","5,887","6,181","6,327","6,497"
Hillingdon,"12,490","12,573","11,474","11,992","12,638","13,080","13,940","15,250","15,479","15,248","15,640","15,805"
Hounslow,"11,168","11,659","11,285","11,846","12,353","13,604","15,036","16,771","18,065","18,447","19,185","20,362"
Islington,"13,325","14,003","13,897","14,335","15,041","15,272","16,369","17,699","18,215","18,609","18,984","19,818"
Kensington and Chelsea,"6,632","7,008","6,564","6,891","7,195","8,455","9,499","10,359","10,502","10,359","10,111","10,928"
Kingston upon Thames,"4,437","4,499","4,198","4,233","4,352","4,570","4,389","4,852","4,963","5,507","5,400","5,673"
Lambeth,"9,201","9,721","9,389","10,232","10,716","11,197","11,028","12,421","12,581","13,219","13,954","13,320"
Lewisham,"3,760","3,877","3,696","4,021","4,104","4,020","4,105","4,350","4,758","4,519","4,616","4,544"
Merton,"4,974","4,969","4,568","4,735","4,892","5,224","5,678","5,948","6,130","6,294","6,275","6,330"
Newham,"4,820","5,058","4,876","5,166","5,401","6,010","6,236","6,450","6,795","7,026","7,274","7,436"
Redbridge,"4,533","4,477","4,118","4,293","4,443","4,808","4,939","5,185","5,439","5,654","5,891","5,901"
Richmond upon Thames,"5,431","5,394","5,111","5,254","5,467","6,353","6,618","7,003","7,095","7,467","7,856","8,588"
Southwark,"12,604","13,146","13,118","13,858","15,765","16,319","17,122","17,043","18,009","19,402","19,851","20,901"
Sutton,"4,053","4,066","3,759","3,896","3,955","4,248","4,345","4,436","4,493","4,748","4,914","4,856"
Tower Hamlets,"23,368","24,182","25,798","25,631","27,823","28,318","29,293","30,952","31,799","32,492","35,880","36,078"
Waltham Forest,"3,806","3,788","3,473","3,653","3,812","4,064","4,154","4,469","4,772","4,834","5,008","5,127"
Wandsworth,"6,129","6,242","6,144","6,027","6,819","7,116","8,294","8,775","9,530","8,503","8,630","8,732"
Westminster,"46,025","48,241","47,298","48,810","51,024","53,296","54,153","58,468","58,334","66,089","69,196","72,025"
Medway,"4,248","4,466","4,307","4,531","4,668","5,032","5,144","5,362","5,532","5,708","5,924","6,343"
Bracknell Forest,"4,539","4,700","4,592","4,827","5,050","5,000","4,840","4,966","5,447","5,425","6,090","5,804"
West Berkshire,"5,787","5,972","5,790","5,973","6,234","6,768","7,066","7,131","7,617","7,761","7,865","8,048"
Reading,"6,226","6,569","6,627","6,600","6,962","7,098","7,171","7,266","7,758","8,006","8,132","8,508"
Slough,"7,041","7,273","7,178","7,190","7,651","7,714","8,047","8,402","8,242","8,631","8,134","8,499"
Windsor and Maidenhead,"5,168","5,397","5,304","5,439","5,737","6,025","6,600","6,714","6,929","7,336","8,098","8,030"
Wokingham,"5,146","5,081","5,056","5,195","5,383","5,775","5,485","6,096","6,220","6,684","6,973","7,875"
Milton Keynes,"9,251","9,965","9,639","9,720","10,277","10,387","11,218","12,554","13,507","13,764","14,902","15,685"
Brighton and Hove,"5,822","6,102","5,986","6,086","6,355","6,922","7,485","7,874","8,124","8,474","9,093","9,429"
Portsmouth,"4,627","4,872","4,798","5,023","5,118","5,445","5,647","5,843","5,828","5,913","6,158","6,247"
Southampton,"6,931","6,738","7,195","7,665","8,237","8,310","8,319","7,445","7,921","8,112","8,318","8,521"
Isle of Wight,"2,088","2,179","2,090","2,210","2,286","2,333","2,484","2,632","2,749","2,704","2,754","2,800"
Aylesbury Vale,"3,815","3,995","3,891","3,879","4,117","4,187","4,611","4,734","4,667","4,958","4,925","5,150"
Chiltern,"2,015","2,153","2,069","2,135","2,185","2,288","2,345","2,518","2,668","2,949","2,986","3,182"
South Bucks,"2,196","2,252","2,107","2,244","2,336","2,329","2,350","2,478","2,478","2,438","2,578","2,521"
Wycombe,"4,974","5,121","5,023","5,252","5,473","5,539","5,484","5,689","5,895","5,972","5,894","5,863"
Eastbourne,"1,596","1,683","1,611","1,651","1,745","1,712","1,790","1,836","1,846","2,028","2,107","2,064"
